"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2154","test_login_successfully","tests","Tue Jan 06 15:28:06 UTC 2026","passed","Tue Jan 06 15:28:08 UTC 2026","","test_login","",""
"","9344","test_add_employee_successfully","tests","Tue Jan 06 15:27:55 UTC 2026","passed","Tue Jan 06 15:28:04 UTC 2026","TestAddEmployee","test_add_employee","",""
